,postcode,count_stations,sum_charging_points,city,federal_land,commercial_BEV,commercial_plug-in,private_BEV,private_plug-in,eauto_total
630,10115,18.0,34.0,Berlin,Berlin,114,203,101,85,503.0
631,10117,29.0,56.0,Berlin,Berlin,332,570,91,61,1054.0
632,10119,4.0,8.0,Berlin,Berlin,78,68,69,39,254.0
633,10178,17.0,36.0,Berlin,Berlin,153,267,27,21,468.0
635,10243,23.0,44.0,Berlin,Berlin,115,98,47,44,304.0
636,10245,7.0,12.0,Berlin,Berlin,461,252,106,75,894.0
637,10247,8.0,17.0,Berlin,Berlin,36,52,70,55,213.0
638,10249,11.0,18.0,Berlin,Berlin,34,51,54,48,187.0
639,10315,3.0,6.0,Berlin,Berlin,27,25,34,48,134.0
640,10317,5.0,10.0,Berlin,Berlin,30,46,49,48,173.0
641,10318,4.0,8.0,Berlin,Berlin,43,54,134,92,323.0
642,10319,4.0,9.0,Berlin,Berlin,0,0,16,31,47.0
643,10365,9.0,22.0,Berlin,Berlin,53,86,33,39,211.0
644,10367,4.0,8.0,Berlin,Berlin,29,40,30,36,135.0
645,10369,6.0,9.0,Berlin,Berlin,13,32,30,33,108.0
646,10405,9.0,18.0,Berlin,Berlin,94,149,86,70,399.0
647,10407,14.0,27.0,Berlin,Berlin,49,46,67,46,208.0
648,10409,6.0,12.0,Berlin,Berlin,9,20,27,23,79.0
649,10435,7.0,14.0,Berlin,Berlin,56,66,52,52,226.0
650,10437,9.0,18.0,Berlin,Berlin,66,58,74,52,250.0
651,10439,10.0,20.0,Berlin,Berlin,37,53,65,45,200.0
652,10551,4.0,8.0,Berlin,Berlin,33,23,14,19,89.0
653,10553,8.0,16.0,Berlin,Berlin,121,125,11,17,274.0
654,10555,3.0,6.0,Berlin,Berlin,22,41,36,39,138.0
655,10557,24.0,51.0,Berlin,Berlin,141,664,65,53,923.0
656,10559,7.0,17.0,Berlin,Berlin,59,55,30,19,163.0
657,10585,5.0,10.0,Berlin,Berlin,37,43,32,31,143.0
658,10587,21.0,42.0,Berlin,Berlin,212,942,44,33,1231.0
659,10589,7.0,15.0,Berlin,Berlin,50,75,42,36,203.0
660,10623,6.0,12.0,Berlin,Berlin,182,204,31,26,443.0
661,10625,3.0,6.0,Berlin,Berlin,47,54,26,17,144.0
