,year,federal_land,owner_group,petrol,diesel,gas,electro,plug-in,other,Personenkraftwagen insgesamt
0,2018,Baden-Württemberg,commercial,258246,492236,3985,6348,6473,174,774417
1,2018,Baden-Württemberg,private,3998142,1759556,41936,6808,4324,1190,5836808
2,2018,Bayern,commercial,362351,610974,4620,7831,7269,164,1003962
3,2018,Bayern,private,4607560,2259934,52366,8493,5461,1311,6965047
4,2018,Berlin,commercial,65027,85795,1452,1698,1090,59,158731
5,2018,Berlin,private,802822,218173,14401,745,746,328,1046856
6,2018,Brandenburg,commercial,40151,63105,1026,515,375,19,106178
7,2018,Brandenburg,private,956637,331634,15433,774,640,513,1312764
8,2018,Bremen,commercial,12760,25259,316,256,218,7,39190
9,2018,Bremen,private,181997,65839,3141,115,115,48,252633
10,2018,Hamburg,commercial,69518,92411,838,1194,925,57,166701
11,2018,Hamburg,private,452249,169412,5191,610,495,92,631498
12,2018,Hessen,commercial,170811,298358,2489,2212,2194,95,479189
13,2018,Hessen,private,2238340,931923,31412,3077,2338,694,3224047
14,2018,Mecklenburg-Vorpommern,commercial,21953,38944,578,253,144,7,62291
15,2018,Mecklenburg-Vorpommern,private,547824,233123,7024,262,288,301,792047
16,2018,Niedersachsen,commercial,166354,271647,3985,2722,3240,48,450653
17,2018,Niedersachsen,private,2848627,1337173,60958,3077,2455,794,4267526
18,2018,Nordrhein-Westfalen,commercial,346958,658428,7032,5290,5334,115,1031086
19,2018,Nordrhein-Westfalen,private,6384691,2418818,152003,6097,5281,1708,9006922
20,2018,Rheinland-Pfalz,commercial,69652,134186,1177,1122,1113,20,208505
21,2018,Rheinland-Pfalz,private,1569002,700076,20103,1647,1214,440,2301896
22,2018,Saarland,commercial,16652,30332,296,236,210,3,48121
23,2018,Saarland,private,412427,167343,2927,350,216,146,586818
24,2018,Sachsen,commercial,79724,127079,1609,1135,709,24,211870
25,2018,Sachsen,private,1462263,446056,16426,760,670,955,1936521
26,2018,Sachsen-Anhalt,commercial,36074,61474,1062,369,272,32,99921
27,2018,Sachsen-Anhalt,private,823598,272029,9339,306,454,567,1110823
28,2018,Schleswig-Holstein,commercial,47099,90003,874,1015,774,12,140664
29,2018,Schleswig-Holstein,private,1010837,482586,13479,1431,757,275,1515229
30,2018,Thüringen,commercial,32578,56838,559,566,323,11,91345
